ev,het,datum,sz1,sz2,sz3,sz4,sz5
2014,38,2014.09.20.,2,7,12,25,76
2014,37,2014.09.13.,7,39,40,58,68
2014,36,2014.09.06.,3,16,27,45,81
2014,35,2014.08.30.,19,53,60,66,67
2014,34,2014.08.23.,24,36,63,70,84
2014,33,2014.08.16.,6,52,57,68,86
2014,32,2014.08.09.,20,28,47,51,71
2014,31,2014.08.02.,23,60,76,84,86
2014,30,2014.07.26.,6,15,22,33,44
2014,29,2014.07.19.,13,21,44,47,52
2014,28,2014.07.12.,13,47,68,70,86
2014,27,2014.07.05.,45,52,59,69,81
2014,26,2014.06.28.,12,26,65,66,83
2014,25,2014.06.21.,3,35,37,43,52
2014,24,2014.06.14.,1,11,19,31,37
2014,23,2014.06.07.,2,3,32,59,73
2014,22,2014.05.31.,16,27,45,53,70
2014,21,2014.05.24.,30,55,59,71,80
2014,20,2014.05.17.,2,27,28,32,90
2014,19,2014.05.10.,12,38,45,66,76
2014,18,2014.05.03.,4,7,19,58,63
2014,17,2014.04.26.,11,16,39,49,74
2014,16,2014.04.19.,29,40,46,72,90
2014,15,2014.04.12.,5,20,22,49,70
2014,14,2014.04.05.,4,20,28,40,53
2014,13,2014.03.29.,19,20,30,43,65
2014,12,2014.03.22.,23,26,27,86,87
2014,11,2014.03.15.,5,10,54,59,80
2014,10,2014.03.08.,3,26,31,46,66
2014,9,2014.03.01.,3,59,63,66,84
2014,8,2014.02.22.,40,44,62,75,84
2014,7,2014.02.15.,2,10,39,44,68
2014,6,2014.02.08.,15,39,42,52,55
2014,5,2014.02.01.,23,32,37,62,79
2014,4,2014.01.25.,15,18,19,29,39
2014,3,2014.01.18.,38,43,48,57,74
2014,2,2014.01.11.,1,12,42,71,85
2014,1,2014.01.04.,24,42,46,47,81
2013,52,2013.12.28.,8,14,24,32,54
2013,51,2013.12.21.,5,15,38,51,76
2013,50,2013.12.14.,43,50,66,78,80
2013,49,2013.12.07.,8,24,51,86,87
2013,48,2013.11.30.,12,30,51,66,73
2013,47,2013.11.23.,11,14,37,57,58
2013,46,2013.11.16.,6,13,34,39,51
2013,45,2013.11.09.,11,59,61,74,80
2013,44,2013.11.02.,20,43,44,46,55
2013,43,2013.10.26.,7,31,36,48,66
2013,42,2013.10.19.,9,17,69,72,85
2013,41,2013.10.12.,30,31,35,43,54
2013,40,2013.10.05.,7,25,34,37,46
2013,39,2013.09.28.,5,31,64,76,86
2013,38,2013.09.21.,17,21,70,77,83
2013,37,2013.09.14.,1,15,48,53,62
2013,36,2013.09.07.,26,66,77,82,87
2013,35,2013.08.31.,15,24,48,59,65
2013,34,2013.08.24.,10,12,22,39,68
2013,33,2013.08.17.,12,25,31,56,57
2013,32,2013.08.10.,42,44,49,70,78
2013,31,2013.08.03.,30,31,39,78,83
2013,30,2013.07.27.,22,59,62,80,90
2013,29,2013.07.20.,16,30,32,49,73
2013,28,2013.07.13.,2,13,15,36,69
2013,27,2013.07.06.,55,68,76,78,81
2013,26,2013.06.29.,14,27,64,70,85
2013,25,2013.06.22.,8,12,38,45,85
2013,24,2013.06.15.,13,15,30,31,41
2013,23,2013.06.08.,13,26,42,79,84
2013,22,2013.06.01.,9,30,39,52,75
2013,21,2013.05.25.,13,50,53,59,70
2013,20,2013.05.18.,23,26,33,53,60
2013,19,2013.05.11.,12,37,62,82,83
2013,18,2013.05.04.,25,39,45,54,65
2013,17,2013.04.27.,20,23,39,70,78
2013,16,2013.04.20.,18,33,53,75,89
2013,15,2013.04.13.,26,39,40,52,53
2013,14,2013.04.06.,1,30,37,55,82
2013,13,2013.03.30.,3,45,56,57,86
2013,12,2013.03.23.,1,15,45,68,70
2013,11,2013.03.16.,2,12,23,57,78
2013,10,2013.03.09.,6,18,26,76,77
2013,9,2013.03.02.,6,15,23,43,68
2013,8,2013.02.23.,2,3,47,61,67
2013,7,2013.02.16.,3,19,41,55,61
2013,6,2013.02.09.,1,31,55,77,88
2013,5,2013.02.02.,7,14,19,37,44
2013,4,2013.01.26.,21,33,43,56,79
2013,3,2013.01.19.,4,20,24,36,39
2013,2,2013.01.12.,4,12,31,75,85
2013,1,2013.01.05.,28,47,58,72,75
2012,52,2012.12.29.,34,41,56,59,61
2012,51,2012.12.22.,5,15,32,52,83
2012,50,2012.12.15.,5,16,70,82,85
2012,49,2012.12.08.,20,31,34,69,84
2012,48,2012.12.01.,15,33,56,60,76
2012,47,2012.11.24.,20,26,59,72,75
2012,46,2012.11.17.,16,24,40,64,73
2012,45,2012.11.10.,9,16,49,54,68
2012,44,2012.11.03.,3,15,19,63,89
2012,43,2012.10.27.,15,18,37,48,72
2012,42,2012.10.20.,47,51,53,57,63
2012,41,2012.10.13.,6,23,41,81,85
2012,40,2012.10.06.,18,28,29,33,59
2012,39,2012.09.29.,2,12,29,68,86
2012,38,2012.09.22.,28,38,52,56,65
2012,37,2012.09.15.,39,62,73,83,90
2012,36,2012.09.08.,1,7,30,44,69
2012,35,2012.09.01.,24,75,83,84,85
2012,34,2012.08.25.,7,26,37,81,88
2012,33,2012.08.18.,11,42,53,64,66
2012,32,2012.08.11.,16,23,26,74,75
2012,31,2012.08.04.,16,22,28,40,54
2012,30,2012.07.28.,7,33,35,83,89
2012,29,2012.07.21.,19,43,46,47,52
2012,28,2012.07.14.,20,44,52,65,83
2012,27,2012.07.07.,17,29,74,76,82
2012,26,2012.06.30.,11,12,31,49,58
2012,25,2012.06.23.,19,24,47,60,88
2012,24,2012.06.16.,19,26,53,60,89
2012,23,2012.06.09.,14,21,22,58,64
2012,22,2012.06.02.,18,20,30,42,51
2012,21,2012.05.26.,23,30,45,56,71
2012,20,2012.05.19.,11,36,43,63,66
2012,19,2012.05.12.,1,25,27,69,81
2012,18,2012.05.05.,21,36,68,69,87
2012,17,2012.04.28.,1,6,23,46,50
2012,16,2012.04.21.,24,25,43,60,85
2012,15,2012.04.14.,1,23,39,50,65
2012,14,2012.04.07.,35,75,80,84,86
2012,13,2012.03.31.,15,17,68,71,89
2012,12,2012.03.24.,5,44,63,73,83
2012,11,2012.03.17.,39,45,57,77,81
2012,10,2012.03.10.,45,67,69,76,88
2012,9,2012.03.03.,2,18,43,48,53
2012,8,2012.02.25.,7,18,59,60,65
2012,7,2012.02.18.,3,29,66,79,83
2012,6,2012.02.11.,40,54,60,64,65
2012,5,2012.02.04.,4,15,24,78,82
2012,4,2012.01.28.,7,21,48,55,82
2012,3,2012.01.21.,10,30,44,65,66
2012,2,2012.01.14.,12,41,59,61,66
2012,1,2012.01.07.,45,56,65,81,83
2011,52,2012.01.01.,19,32,36,52,76
2011,51,2011.12.25.,12,18,25,40,67
2011,50,2011.12.17.,2,4,61,62,89
2011,49,2011.12.10.,4,24,32,46,84
2011,48,2011.12.03.,9,18,45,57,71
2011,47,2011.11.26.,2,6,34,35,76
2011,46,2011.11.19.,4,34,48,66,83
2011,45,2011.11.12.,6,11,40,47,86
2011,44,2011.11.05.,6,26,27,33,75
2011,43,2011.10.29.,4,26,67,68,71
2011,42,2011.10.22.,24,37,39,48,74
2011,41,2011.10.15.,1,4,40,57,70
2011,40,2011.10.08.,33,59,63,76,84
2011,39,2011.10.01.,4,22,32,33,35
2011,38,2011.09.24.,3,20,27,42,51
2011,37,2011.09.17.,16,50,74,76,78
2011,36,2011.09.10.,35,57,74,84,87
2011,35,2011.09.03.,7,10,56,58,84
2011,34,2011.08.27.,35,59,78,85,88
2011,33,2011.08.20.,23,65,75,84,88
2011,32,2011.08.13.,20,56,63,68,84
2011,31,2011.08.06.,7,14,50,68,90
2011,30,2011.07.30.,28,50,64,79,82
2011,29,2011.07.23.,28,55,57,82,83
2011,28,2011.07.16.,4,20,43,52,85
2011,27,2011.07.09.,37,50,65,87,89
2011,26,2011.07.02.,2,22,36,60,76
2011,25,2011.06.25.,15,52,55,71,83
2011,24,2011.06.18.,15,20,37,42,51
2011,23,2011.06.11.,11,42,45,63,76
2011,22,2011.06.04.,2,13,72,83,84
2011,21,2011.05.28.,9,33,42,68,74
2011,20,2011.05.21.,8,10,51,59,74
2011,19,2011.05.14.,22,29,40,48,86
2011,18,2011.05.07.,6,22,23,47,84
2011,17,2011.04.30.,26,39,41,84,88
2011,16,2011.04.23.,1,19,34,51,67
2011,15,2011.04.16.,35,60,74,77,84
2011,14,2011.04.09.,2,34,66,77,82
2011,13,2011.04.02.,24,29,53,71,72
2011,12,2011.03.26.,40,54,73,81,85
2011,11,2011.03.19.,18,41,42,52,89
2011,10,2011.03.12.,17,31,32,53,72
2011,9,2011.03.05.,1,56,69,75,76
2011,8,2011.02.26.,5,22,51,70,72
2011,7,2011.02.19.,15,38,66,70,76
2011,6,2011.02.12.,5,15,36,73,75
2011,5,2011.02.05.,1,2,18,58,74
2011,4,2011.01.29.,12,21,33,57,59
2011,3,2011.01.22.,26,39,70,71,82
2011,2,2011.01.15.,3,10,48,61,76
2011,1,2011.01.08.,5,30,55,70,85
2010,52,2011.01.01.,4,8,31,81,83
2010,51,2010.12.25.,4,17,70,71,75
2010,50,2010.12.18.,11,30,63,66,84
2010,49,2010.12.11.,4,28,38,69,72
2010,48,2010.12.04.,37,45,48,52,74
2010,47,2010.11.27.,2,60,66,73,84
2010,46,2010.11.20.,24,26,39,40,78
2010,45,2010.11.13.,1,15,22,50,80
2010,44,2010.11.06.,15,41,43,45,89
2010,43,2010.10.30.,6,28,38,49,69
2010,42,2010.10.23.,12,23,30,33,61
2010,41,2010.10.16.,2,8,38,44,50
2010,40,2010.10.09.,10,29,62,74,83
2010,39,2010.10.02.,13,19,31,53,73
2010,38,2010.09.25.,26,30,36,41,81
2010,37,2010.09.18.,1,7,14,35,43
2010,36,2010.09.11.,25,32,36,43,63
2010,35,2010.09.04.,15,37,46,55,59
2010,34,2010.08.28.,3,11,16,22,87
2010,33,2010.08.21.,13,19,26,53,73
2010,32,2010.08.14.,39,42,47,81,89
2010,31,2010.08.07.,2,9,11,37,46
2010,30,2010.07.31.,1,3,38,63,72
2010,29,2010.07.24.,11,23,32,66,73
2010,28,2010.07.17.,25,49,76,78,85
2010,27,2010.07.10.,3,53,73,76,89
2010,26,2010.07.03.,14,17,21,28,50
2010,25,2010.06.26.,11,18,26,67,83
2010,24,2010.06.19.,4,44,65,73,89
2010,23,2010.06.12.,31,46,70,74,78
2010,22,2010.06.05.,9,18,76,85,90
2010,21,2010.05.29.,17,19,29,36,78
2010,20,2010.05.22.,4,6,52,77,78
2010,19,2010.05.15.,15,37,51,83,86
2010,18,2010.05.08.,2,30,50,72,84
2010,17,2010.05.01.,24,52,58,61,78
2010,16,2010.04.24.,1,10,42,55,73
2010,15,2010.04.17.,18,36,49,64,80
2010,14,2010.04.10.,18,23,45,53,64
2010,13,2010.04.03.,28,38,55,68,82
2010,12,2010.03.27.,8,22,53,63,71
2010,11,2010.03.20.,10,61,71,77,83
2010,10,2010.03.13.,1,29,50,55,70
2010,9,2010.03.06.,20,24,61,86,90
2010,8,2010.02.27.,9,24,54,79,82
2010,7,2010.02.20.,4,9,29,64,65
2010,6,2010.02.13.,13,26,27,30,45
2010,5,2010.02.06.,12,38,39,57,79
2010,4,2010.01.30.,3,16,31,52,53
2010,3,2010.01.23.,8,9,54,69,87
2010,2,2010.01.16.,25,35,42,57,87
2010,1,2010.01.09.,13,17,42,43,46
2009,53,2010.01.02.,5,42,46,71,81
2009,52,2009.12.26.,4,22,68,72,82
2009,51,2009.12.19.,6,28,33,41,45
2009,50,2009.12.12.,3,25,48,55,80
2009,49,2009.12.05.,21,38,46,61,65
2009,48,2009.11.28.,15,19,45,63,68
2009,47,2009.11.21.,60,73,75,82,86
2009,46,2009.11.14.,55,61,63,86,90
2009,45,2009.11.07.,6,32,57,66,77
2009,44,2009.10.31.,5,35,47,66,78
2009,43,2009.10.24.,18,19,54,57,84
2009,42,2009.10.17.,4,27,29,62,72
2009,41,2009.10.10.,15,28,51,52,73
2009,40,2009.10.03.,1,6,8,59,71
2009,39,2009.09.26.,16,24,33,54,84
2009,38,2009.09.19.,9,16,26,73,75
2009,37,2009.09.12.,1,11,21,29,81
2009,36,2009.09.05.,9,14,15,26,45
2009,35,2009.08.29.,9,12,35,56,58
2009,34,2009.08.22.,11,34,41,56,69
2009,33,2009.08.15.,4,43,61,77,80
2009,32,2009.08.08.,1,2,16,51,90
2009,31,2009.08.01.,15,23,41,67,73
2009,30,2009.07.25.,25,29,48,66,89
2009,29,2009.07.18.,1,6,20,33,38
2009,28,2009.07.11.,4,28,58,59,85
2009,27,2009.07.04.,2,54,66,78,81
2009,26,2009.06.27.,4,9,13,32,70
2009,25,2009.06.20.,3,4,32,83,90
2009,24,2009.06.13.,1,7,17,40,81
2009,23,2009.06.06.,31,37,66,73,77
2009,22,2009.05.30.,25,66,76,77,90
2009,21,2009.05.23.,1,13,33,46,54
2009,20,2009.05.16.,2,38,44,61,76
2009,19,2009.05.09.,27,33,38,71,81
2009,18,2009.05.02.,10,16,29,34,42
2009,17,2009.04.25.,20,43,53,54,58
2009,16,2009.04.19.,17,21,57,62,71
2009,15,2009.04.11.,4,7,31,54,57
2009,14,2009.04.04.,7,11,15,66,79
2009,13,2009.03.28.,14,32,53,70,86
2009,12,2009.03.21.,20,44,52,74,85
2009,11,2009.03.14.,26,31,33,36,37
2009,10,2009.03.07.,11,25,57,79,86
2009,9,2009.02.28.,7,22,79,86,88
2009,8,2009.02.21.,5,19,26,62,64
2009,7,2009.02.14.,4,16,22,39,69
2009,6,2009.02.07.,18,22,29,47,51
2009,5,2009.01.31.,27,43,53,74,75
2009,4,2009.01.24.,2,29,31,43,85
2009,3,2009.01.17.,16,43,48,76,86
2009,2,2009.01.10.,4,41,56,84,85
2009,1,2009.01.03.,9,12,36,51,60
2008,52,2008.12.27.,26,34,66,67,83
2008,51,2008.12.20.,1,23,24,39,62
2008,50,2008.12.13.,1,15,43,44,51
2008,49,2008.12.06.,11,24,31,60,84
2008,48,2008.11.29.,10,13,28,52,65
2008,47,2008.11.22.,9,13,16,39,67
2008,46,2008.11.15.,9,13,29,33,64
2008,45,2008.11.08.,9,22,24,49,88
2008,44,2008.11.01.,2,9,39,69,75
2008,43,2008.10.25.,5,14,36,46,54
2008,42,2008.10.18.,31,52,55,59,62
2008,41,2008.10.11.,11,27,69,72,77
2008,40,2008.10.04.,1,25,38,71,74
2008,39,2008.09.27.,33,45,57,73,88
2008,38,2008.09.20.,22,31,53,67,84
2008,37,2008.09.13.,34,41,61,76,84
2008,36,2008.09.06.,22,23,31,42,73
2008,35,2008.08.30.,3,40,57,75,83
2008,34,2008.08.23.,11,20,44,46,88
2008,33,2008.08.16.,7,16,33,65,78
2008,32,2008.08.09.,1,33,42,65,70
2008,31,2008.08.02.,2,38,40,50,84
2008,30,2008.07.26.,32,37,48,70,87
2008,29,2008.07.19.,14,24,64,74,81
2008,28,2008.07.12.,2,23,26,27,50
2008,27,2008.07.05.,20,27,63,81,82
2008,26,2008.06.28.,4,7,56,71,83
2008,25,2008.06.21.,5,16,30,50,55
2008,24,2008.06.14.,3,15,16,56,89
2008,23,2008.06.07.,27,33,39,65,83
2008,22,2008.05.31.,4,8,18,86,89
2008,21,2008.05.24.,3,11,28,43,75
2008,20,2008.05.17.,53,57,62,82,90
2008,19,2008.05.10.,4,44,47,63,89
2008,18,2008.05.03.,10,53,54,65,71
2008,17,2008.04.26.,7,8,24,56,85
2008,16,2008.04.19.,11,36,38,79,89
2008,15,2008.04.12.,29,55,64,77,87
2008,14,2008.04.05.,16,51,69,78,87
2008,13,2008.03.29.,10,14,28,35,41
2008,12,2008.03.22.,9,29,57,69,74
2008,11,2008.03.15.,10,34,42,66,85
2008,10,2008.03.08.,10,23,29,58,65
2008,9,2008.03.01.,11,13,49,57,60
2008,8,2008.02.23.,12,27,44,52,57
2008,7,2008.02.16.,2,24,26,34,88
2008,6,2008.02.09.,14,16,28,46,58
2008,5,2008.02.02.,3,18,20,71,81
2008,4,2008.01.26.,10,23,61,68,72
2008,3,2008.01.19.,5,24,59,62,86
2008,2,2008.01.12.,18,42,45,72,80
2008,1,2008.01.05.,4,14,27,38,41
2007,52,2007.12.29.,9,12,15,49,66
2007,51,2007.12.22.,15,17,34,80,90
2007,50,2007.12.15.,11,13,18,39,76
2007,49,2007.12.08.,40,50,70,73,89
2007,48,2007.12.01.,6,27,60,71,82
2007,47,2007.11.24.,4,21,26,71,83
2007,46,2007.11.17.,9,34,50,63,90
2007,45,2007.11.10.,1,15,26,55,59
2007,44,2007.11.03.,15,22,23,70,88
2007,43,2007.10.27.,28,34,36,42,86
2007,42,2007.10.20.,25,30,40,55,74
2007,41,2007.10.13.,11,21,32,84,85
2007,40,2007.10.06.,1,18,30,69,90
2007,39,2007.09.29.,25,38,51,55,85
2007,38,2007.09.22.,27,37,39,57,66
2007,37,2007.09.15.,9,35,42,87,88
2007,36,2007.09.08.,2,4,17,25,41
2007,35,2007.09.01.,3,11,24,35,77
2007,34,2007.08.25.,17,26,57,59,78
2007,33,2007.08.18.,28,30,35,46,83
2007,32,2007.08.11.,1,3,47,76,78
2007,31,2007.08.04.,40,46,63,71,77
2007,30,2007.07.28.,13,14,39,81,87
2007,29,2007.07.21.,20,41,44,68,71
2007,28,2007.07.14.,24,56,73,89,90
2007,27,2007.07.07.,21,24,26,35,71
2007,26,2007.06.30.,9,62,69,83,90
2007,25,2007.06.23.,10,16,25,36,56
2007,24,2007.06.16.,19,29,47,54,83
2007,23,2007.06.09.,31,44,71,73,82
2007,22,2007.06.02.,11,24,42,59,78
2007,21,2007.05.26.,1,6,18,35,79
2007,20,2007.05.19.,46,65,75,84,85
2007,19,2007.05.12.,52,54,72,77,83
2007,18,2007.05.05.,9,14,21,55,77
2007,17,2007.04.28.,21,41,45,49,63
2007,16,2007.04.21.,3,10,14,30,63
2007,15,2007.04.14.,14,30,47,58,77
2007,14,2007.04.07.,14,20,30,55,75
2007,13,2007.03.31.,7,49,63,64,72
2007,12,2007.03.24.,13,49,66,75,79
2007,11,2007.03.17.,22,39,49,60,70
2007,10,2007.03.10.,11,24,38,39,81
2007,9,2007.03.03.,18,36,65,79,89
2007,8,2007.02.24.,8,13,39,43,63
2007,7,2007.02.17.,16,22,62,79,90
2007,6,2007.02.10.,1,8,34,74,86
2007,5,2007.02.03.,14,23,72,85,86
2007,4,2007.01.27.,2,32,47,61,67
2007,3,2007.01.20.,16,43,56,57,86
2007,2,2007.01.13.,45,54,79,81,82
2007,1,2007.01.06.,27,36,37,55,57
2006,52,2006.12.30.,5,21,35,62,76
2006,51,2006.12.23.,52,54,65,72,88
2006,50,2006.12.16.,14,41,48,50,52
2006,49,2006.12.10.,4,27,29,74,85
2006,48,2006.12.02.,20,25,31,60,79
2006,47,2006.11.25.,5,13,21,27,81
2006,46,2006.11.18.,14,27,40,52,74
2006,45,2006.11.11.,25,42,48,73,87
2006,44,2006.11.05.,15,17,37,48,57
2006,43,2006.10.28.,5,24,30,44,57
2006,42,2006.10.21.,1,6,14,18,88
2006,41,2006.10.14.,3,39,40,82,83
2006,40,2006.10.07.,25,38,40,55,76
2006,39,2006.09.30.,11,12,35,61,76
2006,38,2006.09.23.,13,37,51,59,61
2006,37,2006.09.16.,19,21,42,73,87
2006,36,2006.09.09.,4,12,45,65,66
2006,35,2006.09.02.,17,38,39,55,85
2006,34,2006.08.26.,16,35,54,65,68
2006,33,2006.08.19.,17,18,66,73,90
2006,32,2006.08.12.,15,22,63,81,89
2006,31,2006.08.05.,13,16,46,65,69
2006,30,2006.07.29.,34,45,76,77,83
2006,29,2006.07.22.,36,44,47,83,89
2006,28,2006.07.15.,2,15,29,73,75
2006,27,2006.07.08.,4,17,19,53,61
2006,26,2006.07.01.,11,62,69,74,90
2006,25,2006.06.24.,38,49,73,78,83
2006,24,2006.06.17.,11,17,69,71,80
2006,23,2006.06.10.,1,29,34,73,88
2006,22,2006.06.03.,15,28,35,65,73
2006,21,2006.05.27.,9,22,55,70,79
2006,20,2006.05.20.,10,24,51,57,76
2006,19,2006.05.13.,12,22,28,56,60
2006,18,2006.05.06.,15,23,34,44,67
2006,17,2006.04.29.,8,11,13,21,43
2006,16,2006.04.22.,3,10,66,69,82
2006,15,2006.04.15.,24,28,34,49,56
2006,14,2006.04.08.,9,29,38,80,86
2006,13,2006.04.01.,8,46,56,79,84
2006,12,2006.03.25.,13,35,61,64,66
2006,11,2006.03.18.,50,53,63,79,86
2006,10,2006.03.11.,9,33,61,72,90
2006,9,2006.03.04.,44,71,73,76,84
2006,8,2006.02.25.,3,7,8,16,59
2006,7,2006.02.18.,19,27,40,80,87
2006,6,2006.02.11.,52,55,56,64,81
2006,5,2006.02.04.,21,45,52,69,83
2006,4,2006.01.28.,13,63,65,66,74
2006,3,2006.01.21.,1,33,49,56,69
2006,2,2006.01.14.,35,36,42,47,60
2006,1,2006.01.07.,5,19,21,44,69
2005,52,2006.01.01.,13,35,39,42,58
2005,51,2005.12.25.,6,19,31,72,81
2005,50,2005.12.17.,3,18,19,60,79
2005,49,2005.12.10.,7,11,16,50,86
2005,48,2005.12.03.,38,45,56,63,78
2005,47,2005.11.26.,5,30,72,87,88
2005,46,2005.11.19.,5,14,15,56,79
2005,45,2005.11.12.,36,40,52,79,80
2005,44,2005.11.05.,15,22,28,41,57
2005,43,2005.10.29.,33,37,40,51,52
2005,42,2005.10.22.,4,51,66,74,83
2005,41,2005.10.15.,34,44,55,62,75
2005,40,2005.10.08.,3,19,50,59,70
2005,39,2005.10.01.,31,44,55,67,73
2005,38,2005.09.24.,8,36,44,55,76
2005,37,2005.09.17.,3,33,53,60,61
2005,36,2005.09.10.,4,16,22,48,88
2005,35,2005.09.03.,17,18,40,42,58
2005,34,2005.08.27.,4,32,34,36,78
2005,33,2005.08.20.,22,32,51,75,83
2005,32,2005.08.13.,2,9,28,30,78
2005,31,2005.08.06.,3,31,39,73,81
2005,30,2005.07.30.,6,15,36,38,75
2005,29,2005.07.23.,11,12,28,64,81
2005,28,2005.07.16.,4,10,37,42,51
2005,27,2005.07.09.,12,17,45,59,75
2005,26,2005.07.02.,17,24,47,68,84
2005,25,2005.06.25.,7,24,36,57,70
2005,24,2005.06.18.,18,35,56,88,90
2005,23,2005.06.11.,4,29,33,44,73
2005,22,2005.06.04.,27,36,57,71,86
2005,21,2005.05.28.,7,8,69,80,84
2005,20,2005.05.21.,14,16,32,53,54
2005,19,2005.05.14.,1,6,62,72,75
2005,18,2005.05.07.,41,50,80,83,85
2005,17,2005.04.30.,41,47,77,82,84
2005,16,2005.04.23.,3,4,25,29,65
2005,15,2005.04.16.,37,50,69,77,81
2005,14,2005.04.09.,9,27,59,72,74
2005,13,2005.04.02.,16,20,41,59,60
2005,12,2005.03.26.,2,19,63,72,82
2005,11,2005.03.19.,21,29,58,62,71
2005,10,2005.03.12.,2,16,36,37,72
2005,9,2005.03.05.,19,37,49,86,89
2005,8,2005.02.26.,8,27,28,33,58
2005,7,2005.02.19.,9,20,47,50,78
2005,6,2005.02.12.,14,30,32,37,67
2005,5,2005.02.05.,31,32,54,76,89
2005,4,2005.01.29.,2,8,37,38,54
2005,3,2005.01.22.,30,33,40,55,88
2005,2,2005.01.15.,22,66,67,87,89
2005,1,2005.01.08.,30,42,60,75,80
2004,53,2005.01.01.,38,55,65,66,67
2004,52,2004.12.25.,24,48,50,55,80
2004,51,2004.12.18.,8,11,17,45,81
2004,50,2004.12.11.,16,60,65,77,78
2004,49,2004.12.04.,11,13,22,38,47
2004,48,2004.11.27.,49,61,66,69,75
2004,47,2004.11.20.,27,29,34,37,59
2004,46,2004.11.13.,23,47,61,69,82
2004,45,2004.11.06.,28,38,47,62,79
2004,44,,56,67,72,75,80
2004,43,,1,27,29,74,78
2004,42,,7,10,53,56,61
2004,41,,2,5,17,36,73
2004,40,,31,32,44,68,75
2004,39,,18,27,31,38,44
2004,38,,12,26,69,70,71
2004,37,,6,75,82,83,86
2004,36,,1,32,33,40,69
2004,35,,16,38,48,56,60
2004,34,,7,44,46,77,83
2004,33,,26,43,57,64,71
2004,32,,6,25,32,43,82
2004,31,,18,26,49,68,76
2004,30,,9,23,37,40,83
2004,29,,10,27,32,59,75
2004,28,,33,55,62,86,88
2004,27,,11,26,35,51,85
2004,26,,39,43,51,63,77
2004,25,,9,29,37,52,65
2004,24,,4,19,38,40,60
2004,23,,10,21,49,56,67
2004,22,,1,24,49,67,71
2004,21,,2,11,25,32,67
2004,20,,22,30,34,39,75
2004,19,,2,18,32,55,59
2004,18,,28,33,65,86,88
2004,17,,6,29,58,71,81
2004,16,,12,35,41,44,73
2004,15,,19,20,28,63,89
2004,14,,10,23,47,58,84
2004,13,,5,40,66,81,87
2004,12,,24,38,45,48,89
2004,11,,27,31,41,49,60
2004,10,,1,6,27,40,58
2004,9,,13,36,53,59,75
2004,8,,38,47,49,58,69
2004,7,,36,46,55,59,72
2004,6,,13,70,72,76,78
2004,5,,30,42,61,65,66
2004,4,,22,36,40,55,61
2004,3,,20,33,51,76,79
2004,2,,8,13,47,56,85
2004,1,,11,20,27,32,55
2003,52,,11,24,34,64,89
2003,51,,9,20,21,59,68
2003,50,,12,26,36,46,49
2003,49,,24,31,67,71,73
2003,48,,4,15,46,49,59
2003,47,,1,4,8,69,74
2003,46,,12,28,34,61,70
2003,45,,24,33,34,39,54
2003,44,,23,25,28,66,76
2003,43,,3,14,24,73,83
2003,42,,13,40,55,56,76
2003,41,,32,45,55,70,78
2003,40,,59,68,75,80,85
2003,39,,20,22,23,50,67
2003,38,,16,30,81,83,87
2003,37,,20,40,52,54,90
2003,36,,7,24,25,50,76
2003,35,,10,29,60,74,86
2003,34,,25,28,45,55,74
2003,33,,7,12,18,38,90
2003,32,,6,24,25,53,79
2003,31,,17,18,28,35,90
2003,30,,7,29,30,77,80
2003,29,,17,18,51,52,75
2003,28,,4,56,74,77,89
2003,27,,23,33,34,71,89
2003,26,,1,5,22,44,88
2003,25,,2,6,47,74,80
2003,24,,7,37,40,46,51
2003,23,,7,20,35,58,83
2003,22,,1,45,60,61,82
2003,21,,25,35,37,74,86
2003,20,,32,41,59,66,79
2003,19,,18,38,41,67,89
2003,18,,55,56,58,61,71
2003,17,,20,32,43,65,73
2003,16,,46,50,58,62,76
2003,15,,12,60,66,67,72
2003,14,,17,60,66,71,85
2003,13,,4,23,42,61,64
2003,12,,23,31,42,73,85
2003,11,,3,21,28,30,33
2003,10,,2,23,65,71,84
2003,9,,13,33,73,77,78
2003,8,,10,21,29,40,87
2003,7,,21,29,37,48,68
2003,6,,7,21,33,39,86
2003,5,,54,56,57,59,71
2003,4,,1,28,47,56,70
2003,3,,5,12,31,53,60
2003,2,,18,42,54,83,89
2003,1,,37,42,44,61,62
2002,52,,3,17,20,37,40
2002,51,,33,42,50,69,85
2002,50,,2,3,53,60,69
2002,49,,17,18,33,41,59
2002,48,,22,26,43,74,81
2002,47,,3,5,13,60,88
2002,46,,14,26,48,71,85
2002,45,,15,20,25,47,66
2002,44,,5,21,43,52,64
2002,43,,8,25,64,72,79
2002,42,,8,17,35,49,67
2002,41,,11,24,34,41,87
2002,40,,12,21,42,43,65
2002,39,,20,21,41,62,77
2002,38,,11,37,40,52,73
2002,37,,23,24,51,59,78
2002,36,,13,15,16,28,54
2002,35,,11,12,18,76,79
2002,34,,39,58,61,62,71
2002,33,,52,55,60,67,81
2002,32,,3,10,27,36,56
2002,31,,9,28,56,87,90
2002,30,,41,47,59,71,74
2002,29,,6,11,30,78,80
2002,28,,10,16,47,67,70
2002,27,,6,19,47,52,85
2002,26,,5,30,32,49,79
2002,25,,6,56,71,81,85
2002,24,,1,17,37,49,68
2002,23,,3,25,51,80,86
2002,22,,15,37,39,80,81
2002,21,,27,31,54,66,76
2002,20,,28,38,65,77,90
2002,19,,6,33,43,73,74
2002,18,,1,37,41,72,75
