ev,het,datum,sz1,sz2,sz3,sz4,sz5
2024,3,2024.01.20.,2,32,34,36,39
2024,2,2024.01.13.,13,29,32,56,70
2024,1,2024.01.06.,2,12,23,72,75
2023,52,2023.12.30.,3,54,63,79,81
2023,51,2023.12.23.,7,26,38,49,77
2023,50,2023.12.16.,18,29,33,36,89
2023,49,2023.12.09.,2,4,22,62,82
2023,48,2023.12.02.,3,6,30,51,68
2023,47,2023.11.25.,12,26,51,63,74
2023,46,2023.11.18.,3,14,25,76,89
2023,45,2023.11.11.,42,49,55,77,89
2023,44,2023.11.04.,4,17,68,80,84
2023,43,2023.10.28.,5,8,47,55,87
2023,42,2023.10.21.,10,17,48,73,74
2023,41,2023.10.14.,5,20,24,74,77
2023,40,2023.10.07.,9,10,33,54,75
2023,39,2023.09.30.,17,32,47,72,82
2023,38,2023.09.23.,14,18,25,41,86
2023,37,2023.09.16.,3,24,28,56,87
2023,36,2023.09.09.,51,61,63,67,75
2023,35,2023.09.02.,9,46,47,61,86
2023,34,2023.08.26.,7,8,14,20,47
2023,33,2023.08.19.,22,46,53,56,67
2023,32,2023.08.12.,16,65,68,70,90
2023,31,2023.08.05.,1,4,33,43,65
2023,30,2023.07.29.,10,22,23,50,61
2023,29,2023.07.22.,20,25,30,35,73
2023,28,2023.07.15.,27,56,75,76,81
2023,27,2023.07.08.,4,17,55,67,89
2023,26,2023.07.01.,18,42,44,48,86
2023,25,2023.06.24.,25,36,38,51,89
2023,24,2023.06.17.,12,37,50,74,77
2023,23,2023.06.10.,24,27,50,54,71
2023,22,2023.06.03.,29,35,36,48,83
2023,21,2023.05.27.,15,26,29,50,70
2023,20,2023.05.20.,1,20,42,43,62
2023,19,2023.05.13.,35,39,80,88,90
2023,18,2023.05.06.,7,11,15,55,74
2023,17,2023.04.29.,7,13,28,47,58
2023,16,2023.04.22.,10,17,25,30,83
2023,15,2023.04.15.,15,27,54,62,76
2023,14,2023.04.08.,19,38,53,58,71
2023,13,2023.04.01.,6,9,35,79,85
2023,12,2023.03.25.,13,24,34,45,59
2023,11,2023.03.18.,27,50,65,67,83
2023,10,2023.03.11.,25,40,48,68,82
2023,9,2023.03.04.,2,4,44,48,73
2023,8,2023.02.25.,2,43,72,74,82
2023,7,2023.02.18.,28,37,53,68,84
2023,6,2023.02.11.,10,32,40,70,82
2023,5,2023.02.04.,8,15,20,32,34
2023,4,2023.01.28.,20,51,54,59,86
2023,3,2023.01.21.,11,36,39,68,84
2023,2,2023.01.14.,16,25,32,72,85
2023,1,2023.01.07.,20,58,72,80,90
2022,52,2023.01.01.,5,32,36,48,61
2022,51,2022.12.24.,2,4,43,53,70
2022,50,2022.12.17.,5,39,51,83,84
2022,49,2022.12.10.,5,20,37,75,78
2022,48,2022.12.03.,8,27,60,71,75
2022,47,2022.11.26.,4,18,39,41,54
2022,46,2022.11.19.,5,21,32,38,81
2022,45,2022.11.12.,16,30,32,58,79
2022,44,2022.11.05.,15,35,37,46,72
2022,43,2022.10.29.,2,3,22,42,55
2022,42,2022.10.22.,4,8,12,40,44
2022,41,2022.10.15.,1,7,39,40,58
2022,40,2022.10.08.,18,33,36,48,60
2022,39,2022.10.01.,12,22,24,49,65
2022,38,2022.09.24.,3,16,21,43,60
2022,37,2022.09.17.,7,15,19,33,71
2022,36,2022.09.10.,7,10,33,34,78
2022,35,2022.09.03.,15,31,60,67,76
2022,34,2022.08.27.,12,19,32,47,59
2022,33,2022.08.20.,5,17,31,61,68
2022,32,2022.08.13.,18,41,42,48,52
2022,31,2022.08.06.,24,38,50,75,76
2022,30,2022.07.30.,12,19,20,34,36
2022,29,2022.07.23.,49,51,54,62,83
2022,28,2022.07.16.,30,45,56,62,71
2022,27,2022.07.09.,11,35,44,47,77
2022,26,2022.07.02.,1,36,42,57,79
2022,25,2022.06.25.,7,27,30,34,68
2022,24,2022.06.18.,12,22,26,27,31
2022,23,2022.06.11.,4,19,30,58,71
2022,22,2022.06.04.,14,36,38,45,55
2022,21,2022.05.28.,16,19,31,41,61
2022,20,2022.05.21.,12,24,33,75,90
2022,19,2022.05.14.,3,15,40,46,55
2022,18,2022.05.07.,9,53,57,70,72
2022,17,2022.04.30.,2,30,41,45,88
2022,16,2022.04.23.,41,54,64,81,83
2022,15,2022.04.16.,1,25,35,43,49
2022,14,2022.04.09.,9,40,57,70,90
2022,13,2022.04.02.,4,8,10,55,66
2022,12,2022.03.26.,11,21,22,31,73
2022,11,2022.03.19.,27,50,73,74,84
2022,10,2022.03.12.,4,11,14,40,44
2022,9,2022.03.05.,21,47,52,72,90
2022,8,2022.02.26.,13,25,33,37,90
2022,7,2022.02.19.,30,33,36,66,87
2022,6,2022.02.12.,20,42,61,63,81
2022,5,2022.02.05.,6,50,57,65,76
2022,4,2022.01.29.,11,15,16,42,48
2022,3,2022.01.22.,4,6,15,32,83
2022,2,2022.01.15.,21,49,53,59,79
2022,1,2022.01.08.,3,17,36,66,80
2021,52,2022.01.01.,6,25,47,55,86
2021,51,2021.12.25.,5,31,34,42,63
2021,50,2021.12.18.,2,13,33,60,62
2021,49,2021.12.11.,5,12,33,56,64
2021,48,2021.12.04.,4,17,52,56,71
